incident_id,date,description,location,crime_type,source,year,month,day,hour
9c39e4b4f1f3c078ac2187f6151e1f394dbd1bc297fdd7821f9e6cb59321514b,2024-12-07 04:53:27,"UnitedHealthcare is increasing security after Brian Thompson’s killing, executive saysThe Guardian US UnitedHealthcare CEO Brian Thompson murder manhunt enters 3rd dayFox News Retired NYPD captain describes ‘unique weapon' that may have been used in CEO shoot…",Slashdot.org,news_report,newsapi,2024,12,07,04
8d1d49b951ab44eaaa19c48dc04579f4a8151de459ec1276525ddad8ee25424f,2024-12-07 04:52:32,A 52-year-old man died after he was shot at by two bike-borne men in the Farsh Bazar area of Delhi's Shahdara district on Saturday morning.,NDTV News,news_report,newsapi,2024,12,07,04
8a73da48f75168e7ecb5856bd1b754cbd907a3768123eeb40b20bac1a720bcd4,2024-12-07 04:49:31,"In Shahdara on Saturday, a 52-year-old man, Sunil Jain, was shot by two motorcycle-riding assailants while returning from a morning walk at the Yamuna Sports Complex. Police responded to a PCR call reporting the incident in Farsh Bazar. A crime team is invest…",The Times of India,news_report,newsapi,2024,12,07,04
b4ca3982acb2b0afb9bf42dbd425e66d002f658e389c5f3db26e86a496c9b646,2024-12-07 04:43:21,"The plans follow campaign promises from President-elect Trump and a congressional probe into U.S. Capitol Police and January 6. Donald Trump and his political allies are promising law enforcement reforms and to fight crime in Washington, D.C., when he takes o…",Freerepublic.com,news_report,newsapi,2024,12,07,04
4841c965590827a1c1cf7faf7ecc944e2fe9e2273b67628cbc2e232060dde037,2024-12-07 04:37:10,"A 22-year-old Indian student was fatally stabbed in Canada&#039;s Ontario by his housemate, who has been charged with second-degree murder by the Sarnia Police.",NDTV News,news_report,newsapi,2024,12,07,04
60f048547c4b6eded672917a85f57660f3391828a3860e30868b44b78d6bc214,2024-12-07 04:33:15,Why internet sleuths say they won't help find the UnitedHealthcare CEO suspectNBC News Brian Thompson shooting updates: Police found backpack they believe was worn by suspect in UnitedHealthcare CEO's killing; say he has likely left New York CityYahoo! Voices…,Slashdot.org,news_report,newsapi,2024,12,07,04
8ee254b506d80bb02ce0cf40ee522b030df793f95692460201e359c87a770d1c,2024-12-07 04:08:00,Police said they think the girl was shot a half-mile away in the 3400 block of Meramec Street.,STLtoday.com,news_report,newsapi,2024,12,07,04
ed4949cba09e9ac6b1c4588400ab9059bd7be1c0f312be8bdd0d02aa3ad97cbc,2024-12-07 04:05:10,"Bengaluru police arrested eight suspects, including a minor, in connection with the kidnapping and murder of Akhilesh Yadav. Yadav was killed over a Rs 3,500 debt. The suspects dumped his body in a Vijayanagara forest after driving over 300km. Vijayanagara po…",The Times of India,news_report,newsapi,2024,12,07,04
2b579558aa509c851a3df744fcf3c0ad02c42fa65f5bd54e9afc54a244ead8a1,2024-12-07 04:04:08,A 19-year-old man has been convicted of rape and murder of a 10-year-old girl in West Bengal's South 24 Parganas district and sentenced to death.,NDTV News,news_report,newsapi,2024,12,07,04
58beb082bcdedab26ad7a4edcd00a8e3649971efda4a379409996007db3f83d4,2024-12-07 03:50:08,New York police said they believe the man suspected of gunning down a top health insurance executive may have fled the city on a bus following the brazen daylight murder.,NDTV News,news_report,newsapi,2024,12,07,03
c00a75dba1f9b5305dbf53e62bf235f3474aebd4aa0d7f60c6b55d109bdc24d5,2024-12-07 03:46:00,KUALA LUMPUR: Seven suspects have been arrested after allegedly robbing a house and fleeing with a car. Read full story,The Star Online,news_report,newsapi,2024,12,07,03
aa6d26af04116259ccacff103ebd23166b9c19aef3b2ae4b59b350c78a1b1882,2024-12-07 03:18:26,Charges have been stayed against five of the eight people accused in a shootout near a Toronto recording studio last month.,CBC News,news_report,newsapi,2024,12,07,03
